Destination,Origin,Transit_Times,Lat,Lon
SW18 3DD,N1 7NB,61.333333333333336,51.447437,-0.183814
SW8 4HB,N1 7NB,32.25,51.476318,-0.138372
E5 9QD,N1 7NB,36.3,51.55892,-0.052841999999999986
N1 8DS,N1 7NB,10.35,51.531803,-0.099747
N22 6ES,EC1V 8DQ,35.21666666666667,51.596583,-0.106256
SW17 9PX,EC1V 8DQ,52.85,51.426562,-0.154276
W9 3BL,EC1V 8DQ,47.88333333333333,51.531868,-0.204332
N18 1JH,EC1V 8DQ,58.483333333333334,51.613288,-0.091103
N7 6JT,EC1V 8DQ,33.8,51.560782,-0.120671
SE23 2JL,EC2Y 8BT,54.35,51.438313,-0.043241
SW12 8AH,EC2Y 8BT,34.05,51.453312,-0.151772
SW11 5EB,EC2Y 8BT,44.71666666666667,51.46392700000001,-0.157736
E14 6QB,EC2Y 8BT,32.0,51.518845,-0.012938
SW2 2BU,EC2Y 8BT,43.11666666666667,51.450767,-0.118974
SW8 2DN,EC2Y 8BT,31.866666666666667,51.476279,-0.124045
SW2 3LR,EC2Y 8BT,43.95,51.448048,-0.123288
N7 8AS,EC2Y 8BT,26.783333333333335,51.545358,-0.110518
N22 7HA,EC2Y 8BT,39.766666666666666,51.59931,-0.115904
N13 4SD,EC2Y 8BT,45.983333333333334,51.611512,-0.119818
E10 7BD,EC1V 8EH,59.05,51.566894,-0.019891
N10 2BN,EC1V 8EH,52.55,51.596412,-0.142302
N15 3AD,EC1V 8EH,47.666666666666664,51.583631,-0.092808
N5 1PW,EC1V 8EH,22.166666666666668,51.55158400000001,-0.106784
N22 8JB,EC1V 8EH,37.81666666666667,51.605658,-0.111959
N8 9HS,EC1V 8EH,39.35,51.578349,-0.119282
SW9 0UZ,EC1V 8EH,32.63333333333333,51.467638,-0.116279
CR7 8PU,EC1V 8EH,61.083333333333336,51.405701,-0.096511
SE11 5BX,EC1V 8EH,22.833333333333332,51.484419,-0.112923
E9 7AB,N1 7NY,42.61666666666667,51.543947,-0.04415
E9 6ET,N1 7NY,41.083333333333336,51.549267,-0.049345
NW10 3BX,N1 7NY,56.516666666666666,51.535132,-0.228542
SW16 2DZ,N1 7NY,59.766666666666666,51.427385,-0.128465
SE19 3PU,N1 7NY,76.85,51.414732,-0.090527
SW2 2NN,N1 7NY,53.56666666666667,51.448088,-0.111788
SW17 7HJ,N1 7NY,39.4,51.439552,-0.164299
