index,Postcode,Latitude,Longitude,Distance
2327,BR3 1BW,51.422416999999996,-0.037505000000000004,0.0
2393,BR3 1JH,51.418507,-0.04193,0.0
2394,BR3 1JJ,51.421919,-0.041639999999999996,0.0
2395,BR3 1JN,51.416033,-0.045617000000000005,0.0
2396,BR3 1JQ,51.41561,-0.045103,0.0
2397,BR3 1JT,51.422965000000005,-0.036964,0.0
2400,BR3 1JX,51.421671999999994,-0.039191000000000004,0.0
2401,BR3 1JY,51.419627,-0.043291,0.0
2402,BR3 1JZ,51.419694,-0.04244,0.0
2403,BR3 1LB,51.420965,-0.039969,0.0
2405,BR3 1LE,51.422858000000005,-0.039701,0.0
2406,BR3 1LF,51.421755,-0.039864,0.0
2407,BR3 1LH,51.421848,-0.038985,0.0
2416,BR3 1LW,51.421439,-0.03929,0.0
2470,BR3 1QP,51.417279,-0.042687,0.0
2472,BR3 1QR,51.416895000000004,-0.043407999999999995,0.0
2473,BR3 1QS,51.417885,-0.045092,0.0
2479,BR3 1QZ,51.423175,-0.037705,0.0
7034,CR0 2HS,51.394673,-0.093562,0.0
7076,CR0 2LW,51.394579,-0.092692,0.0
10069,CR4 1AA,51.410383,-0.147321,0.0
10070,CR4 1AB,51.411792,-0.145466,0.0
10071,CR4 1AD,51.409704999999995,-0.147118,0.0
10072,CR4 1AE,51.410638,-0.147584,0.0
10073,CR4 1AF,51.411819,-0.146012,0.0
10074,CR4 1AG,51.410077,-0.146169,0.0
10075,CR4 1AH,51.410227,-0.145458,0.0
10076,CR4 1AJ,51.410232,-0.145745,0.0
10077,CR4 1AL,51.411196000000004,-0.148726,0.0
10078,CR4 1AN,51.410488,-0.151127,0.0
10079,CR4 1AQ,51.411726,-0.14923699999999998,0.0
10080,CR4 1AR,51.410463,-0.149575,0.0
10081,CR4 1AS,51.411388,-0.150616,0.0
10082,CR4 1AT,51.410391,-0.15013900000000002,0.0
10083,CR4 1AU,51.411375,-0.14693599999999998,0.0
10084,CR4 1AW,51.410675,-0.149897,0.0
10085,CR4 1AX,51.409613,-0.152097,0.0
10086,CR4 1AY,51.410671,-0.151336,0.0
10087,CR4 1BA,51.409416,-0.14816500000000002,0.0
10088,CR4 1BB,51.40927,-0.145238,0.0
10089,CR4 1BD,51.402958,-0.136177,0.0
10090,CR4 1BE,51.409416,-0.14759,0.0
10091,CR4 1BF,51.409577,-0.145312,0.0
10092,CR4 1BG,51.410482,-0.14508800000000002,0.0
